Lanskod;Lan;aldersgrupp;Vaccinationsvecka;Vaccinationsstatus;Befolkning;Antal;Andel;;;;
00;| Sverige |;12-15;2020-52;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2020-53;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-01;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-02;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-03;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-04;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-05;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-06;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-07;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-08;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-09;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-10;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-11;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-12;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-13;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-14;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-15;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-16;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-17;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-18;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-19;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-20;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-21;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-22;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-23;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-24;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-25;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-26;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-27;Minst 2 doser;495903;0;0%;;;;
00;| Sverige |;12-15;2021-28;Minst 2 doser;495903;8;0%;;;;
00;| Sverige |;12-15;2021-29;Minst 2 doser;495903;8;0%;;;;
00;| Sverige |;12-15;2021-30;Minst 2 doser;495903;32;0%;;;;
00;| Sverige |;12-15;2021-31;Minst 2 doser;495903;32;0%;;;;
00;| Sverige |;12-15;2021-32;Minst 2 doser;495903;47;0%;;;;
00;| Sverige |;12-15;2021-33;Minst 2 doser;495903;72;0%;;;;
00;| Sverige |;12-15;2021-34;Minst 2 doser;495903;137;0%;;;;
00;| Sverige |;12-15;2021-35;Minst 2 doser;495903;158;0%;;;;
00;| Sverige |;12-15;2021-36;Minst 2 doser;495903;234;0%;;;;
00;| Sverige |;12-15;2021-37;Minst 2 doser;495903;308;0%;;;;
00;| Sverige |;12-15;2021-38;Minst 2 doser;495903;379;0%;;;;
00;| Sverige |;12-15;2021-39;Minst 2 doser;495903;494;0%;;;;
00;| Sverige |;12-15;2021-40;Minst 2 doser;495903;560;0%;;;;
00;| Sverige |;12-15;2021-41;Minst 2 doser;495903;657;0%;;;;
00;| Sverige |;12-15;2021-42;Minst 2 doser;495903;786;0%;;;;
00;| Sverige |;12-15;2021-43;Minst 2 doser;495903;1056;0%;;;;
00;| Sverige |;12-15;2021-44;Minst 2 doser;495903;2493;1%;;;;
00;| Sverige |;12-15;2021-45;Minst 2 doser;495903;27294;6%;;;;
00;| Sverige |;12-15;2021-46;Minst 2 doser;495903;63527;13%;;;;
00;| Sverige |;12-15;2021-47;Minst 2 doser;495903;108271;22%;;;;
00;| Sverige |;12-15;2021-48;Minst 2 doser;495903;148460;30%;;;;
00;| Sverige |;12-15;2021-49;Minst 2 doser;495903;187778;38%;;;;
00;| Sverige |;12-15;2021-50;Minst 2 doser;495903;217573;44%;;;;
00;| Sverige |;12-15;2021-51;Minst 2 doser;495903;224428;45%;;;;
00;| Sverige |;12-15;2021-52;Minst 2 doser;495903;228373;46%;;;;
00;| Sverige |;12-15;2022-01;Minst 2 doser;495903;234208;47%;;;;
00;| Sverige |;12-15;2022-02;Minst 2 doser;495903;255890;52%;;;;
00;| Sverige |;12-15;2022-03;Minst 2 doser;495903;275895;56%;;;;
00;| Sverige |;12-15;2022-04;Minst 2 doser;495903;285739;58%;;;;
00;| Sverige |;12-15;2022-05;Minst 2 doser;495903;293143;59%;;;;
00;| Sverige |;12-15;2022-06;Minst 2 doser;495903;301089;61%;;;;
00;| Sverige |;12-15;2022-07;Minst 2 doser;495903;307097;62%;;;;
00;| Sverige |;12-15;2022-08;Minst 2 doser;495903;311958;63%;;;;
00;| Sverige |;12-15;2022-09;Minst 2 doser;495903;314210;63%;;;;
00;| Sverige |;12-15;2022-10;Minst 2 doser;495903;316066;64%;;;;
00;| Sverige |;12-15;2022-11;Minst 2 doser;495903;317979;64%;;;;
00;| Sverige |;12-15;2022-12;Minst 2 doser;495903;319290;64%;;;;
00;| Sverige |;12-15;2022-13;Minst 2 doser;495903;320306;65%;;;;
00;| Sverige |;12-15;2022-14;Minst 2 doser;495903;320511;65%;;;;
00;| Sverige |;16-17;2020-52;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2020-53;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-01;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-02;Minst 2 doser;236826;0;0%;;;;
00;| Sverige |;16-17;2021-03;Minst 2 doser;236826;0;0%;;;;
